web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,data18
1776246529-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Ha bajado la calidad,Ignacio d,He ido varias veces a este restaurante y ha bajado de calidad. Las costillas no son lo que eran y alguno de los entrantes ni fu ni fa. El trato sigue siendo amable.,3 contribuciones,3.0,Escrita el 28 de enero de 2020,,Calidad/precio,Comida,Servicio,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,
1776246529-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Excelente,Ricardo H,"Muy buena calidad, con unas sugerencias sorprendentes unas de las mejores costillares que hemos probado!!! Trato excelente y buen ambiente!! Mesas un poco pequeñas.","Colmenar Viejo, España",10.0,Escrita el 24 de enero de 2020,10 contribuciones,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,
1776246529-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Me encanta!,Annie,Este restaurante lo descubrí hace unos años y me encanta. La comida está genial y el precio tampoco se sube por las nubes. Lo recomiendo.,5 contribuciones,5.0,Escrita el 24 de enero de 2020,,Calidad/precio,Comida,Servicio,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,
1776246529-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Sorprendido,Miguel Ángel Aragoneses,"La comida americana no me seduce, pero fuera de carta tienen multitud de opciones. Elegí cachopo y de postre Lemon lennon. De lujo ambos platos. La alcachofa de entrante no me dijo mucho. Servicio rápido y precio, aunque lo de fuera de carta era un misterio, nos pareció más que razonable. Para volver.","Tres Cantos, España",15.0,Escrita el 22 de enero de 2020,15 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/0b/e2/35/avatar.jpg?w=100&h=-1&s=1,,
1776246529-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Olé olé y olé,ALLio123,"Madre mía como estaban las costillas, sois los Nº1, desde que como costillas Alrighteras ya no las puedo pedir en ningún otro sitio, son IMBATIBLES
Enhorabuena","Madrid, España",110.0,Escrita el 5 de enero de 2020,110 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/1c/aa/75/alvaro-z.jpg?w=100&h=-1&s=1,,
1776246529-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Ha bajado la calidad,Biomiguelmr,Últimamente notamos una bajada en la calidad de la comida. Ya no es lo que era antes. Es una pena pues era de nuestros restaurantes favoritos.,"Madrid, España",20.0,Escrita el 4 de enero de 2020,20 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/48/23/fa/caption.jpg?w=100&h=-1&s=1,,
1776246529-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Falta de amor que solía tener,Rosi R,"Somos clientes habituales del restaurante de Pedro Rico. Desde que se han volcado en el restaurante de Lopez de Hoyos se nota la falta de ese ""amor"" que tenían los platos tradicionalmente y que le hacía tan especial. Aunque la relación calidad/precio me parece que sigue siendo buena, es cierto que la comida ya no está tan rica. 
Han descuidado el servicio, tardan mucho en servir y la comida ya no parece recién hecha más bien recalentada. Platos fríos. 
Aunque supongo seguiremos visitandolo de vez en cuando y nos pilla muy cerca de casa iremos al de Lopez de Hoyos, creo que ese ""amor"" que echo en falta se debe haber quedado en el nuevo restaurante.",3 contribuciones,3.0,Escrita el 4 de enero de 2020,,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,
1776246529-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,CUIDADO CON LA CARTA SORPRESA... porque la sorpesa llega con la cuenta!,Mel B,"Anoche estuvimos un grupo de cinco cenando en el restaurante. Como las mesas bajas estaban ocupadas, nos sentaron en una mesa alta. Todo empezó bien, hasta que apareció la famosa carta sorpresa! La cual te explican que no la hay por escrito para que no podamos hacerle fotos y deje de ser sorpresa... 
El señor que nos la explicó (dimos por hecho que era el dueño y su hermana la cocinera más que nada porque nos lo repitió como 46 veces) te la vende muy bien con un montón de palabras técnicas, como su pan... Que por cierto... ¿Qué es un pan técnico? Llevo 10 años trabajando en restauración y es la primera vez que lo oigo! 

Total, que nos convenció. Pedimos el niguiri de papada (rico, pero se agradecería que el corte fuese más fino), la alcachofa (un poco insulsa), el solomillo inglés (había que enrollarlo en unas hojas de lechuga que venían con 3L de agua) y ahora viene lo gracioso... el famoso rabo de toro! Cuando nos lo explicó, nos dijo que era un pan bao relleno solo de carne de toro y nos pareció una buena idea, así que pedimos uno para cada uno. Pero cuando llegó a la mesa EL PAN BAO TÉCNICO NO ESTABA POR NINGÚN SITIO! Eran patatas fritas con rabo deshuesado y ya. Muy rico, eso sí. 

El compañero nos preguntó si habíamos pedido uno para cada uno extrañado a lo que le comentamos que es que lo que habíamos pedido era el pan bao, no el plato. Se ofreció a cambiárnoslo, pero dado que ya habíamos empezado a comerlo, nos pareció de mal gusto devolverlo. El dueño se acercó a pedirnos disculpas alegando que es que tenían dos tipos y se había equivocado (gracioso porque en ningún momento nos comentaste que esta opción existiera) y que tendría un detalle con nosotros en el postre. 

La velada transcurrió con normalidad a excepción de la poca comunicación existente en el equipo que hacía que te viniesen a preguntar lo mismo 3 camareros diferentes. 

Cuando pedimos la cuenta, nos encontramos LA SORPRESA... Cada plato de rabo de toro costaba 15,90€! Y de detalle en el postre... ni rastro, por lo que se lo comentamos al camarero y nos invitaron a uno de los postres. Ya por curiosidad preguntamos cuánto costaba el bao con rabo de toro y nos dijo que no estaba seguro... PERO QUE ENTRE 4 Y 5€ Y POR SU EQUIVOCACIÓN, HABÍAMOS PAGADO 10€ MÁS POR CABEZA!! 

POR LEY ES OBLIGATORIO QUE LOS PLATOS QUE RECOMIENDES ESTÉN POR ESCRITO Y CON PRECIOS CON EL IVA INCLUIDO O EL CLIENTE PUEDE NEGARSE A PAGARLOS SI CONSIDERA QUE SON PRECIOS ABUSIVOS. ADEMÁS, EL RESTAURANTE SERÁ MULTADO YA QUE ES OBLIGACIÓN TENER EL LISTADO DE PRECIOS DE TODOS LOS PLATOS QUE TIENEN EN EL RESTAURANTE A LA VISTA DEL CLIENTE. 

Nosotros abonamos la cuenta, claramente no volveremos y desde luego, está puesta la reclamación ya en FACUA para que os obliguen a que desaparezca esa famosa carta sorpresa.",2 contribuciones,2.0,Escrita el 3 de enero de 2020,,Calidad/precio,Comida,Servicio,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7a/b5/f9/cuenta.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,
1776246529-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Trato inmejorable en todos los aspectos,David O,"Escribo esta pequeña reseña para calificar de absolutamente inmejorable el trato que dan en este restaurante a sus futuros comensales. Y digo futuros porque, aunque he ido a comer y cenar muchas veces, esta vez no ha sido así. Hice una reserva para comer tres personas y con el rollo de las fiestas navideñas se me ha olvidado por completo. Lejos de enfadarse, han sido increíblemente amables pese al destrozo que les he podido causar.
Así pues, sitio inmejorable ya no sólo por su comida, o su trato al comensal...sino también por su trato al futuro cliente. 
Gracias y mil perdones, volveremos una y otra vez.","Madrid, España",43.0,Escrita el 2 de enero de 2020,43 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,
1776246529-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Singular,Enric196,"Este restaurante es singular porque tiene unos platos distintos a lo general y Buen preparados.
Un servicio rapido, eficiente y con mucha simpatia por parte de todos los que estan en la sala.","Barcelona, España",100.0,Escrita el 31 de diciembre de 2019,100 contribuciones,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,
