buena_comida,buen_servicio,buen_ambiente,buena_relacion_precio_calidad,espera_corta,apto_ninos,apto_mascotas,cocina_tradicional,cocina_moderna,comida_elaborada,acceso_minusvalidos,terraza_exterior,local_sin_olores,recomendable_en_pareja,buenas_vistas,platos_destacados,aspectos_positivos,aspectos_negativos,rango_precio,dato_curioso,resumen,Id_Restaurante,Nombre,error
True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,"['Croquetas de cecina', 'Pulpo a la gallega', 'Lomo bajo', 'Carpaccio de ventresca de atún', 'Tapa de callos', 'Torrijas', 'Timbal de changurro', 'Navajas a la plancha', 'Lomo de vaca', 'Carrillera', 'Buñuelos de bacalao', 'Empanadas', 'Chipirones', 'Menú degustación']","['Calidad excepcional de la comida y el producto fresco', 'Servicio extremadamente amable, atento y profesional (Manuel, Samy, Alex, Anthony)', 'Recomendaciones de platos muy acertadas', 'Ambiente acogedor y elegante']",['Precio considerado algo alto'],euro euro euro,"Manuel y Samy son figuras centrales, constantemente elogiados por su servicio excepcional y recomendaciones expertas, haciendo que la experiencia sea aún más memorable.","Este restaurante ofrece una experiencia gastronómica increíble con comida de alta calidad, destacando la cocina tradicional gallega y platos elaborados. El servicio es excepcional, con Manuel y Samy siendo recurrentemente elogiados por su amabilidad y profesionalidad. El ambiente es acogedor y elegante, ideal para disfrutar de una comida memorable, aunque con un precio considerado algo alto, la calidad lo justifica.",1,Los Montes de Galicia,
True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,"['butter chicken', 'nan', 'queso biryani', 'cebolla', 'tika masala', 'arroz dulce', 'nan con queso', 'nan ajo queso']","['Comida india y nepalí auténtica y deliciosa', 'Servicio amable, atento y muy rápido', 'Excelente relación calidad-precio', 'Abundantes y ricas opciones vegetarianas', 'Ambiente limpio y agradable']",[],euro euro,"Conocido por ser un negocio familiar que ofrece auténtica comida india y nepalí, muchos lo consideran el mejor de Madrid y Barajas.","Este restaurante de comida india y nepalí es muy valorado por su sabor auténtico, su personal excepcionalmente amable y un servicio muy rápido. Ofrece una excelente relación calidad-precio, con abundantes opciones vegetarianas y un ambiente limpio y agradable, lo que lo convierte en un favorito recurrente para sus clientes.",2,Kathmandu Tandoori House,
True,True,True,True,False,True,False,True,False,True,False,True,False,False,False,"['cócteles caseros', 'guacamole con chicharrón', 'tostones de playa', 'papelón con limón', 'cesta criolla']","['Servicio excepcional y muy amable (Gianfranco, Junior y Ángel)', 'Cócteles caseros creativos y deliciosos', 'Comida muy rica con sabores auténticos y originales (criollos)', 'Ambiente acogedor y agradable para compartir', 'Excelente relación calidad-precio']",[],euro euro,Los camareros Gianfranco y Junior son repetidamente elogiados como los artífices de los mejores cócteles de Madrid.,"Grama Lounge es un lugar muy recomendado por su excelente comida con sabores criollos auténticos, sus increíbles cócteles caseros y un servicio excepcionalmente amable y atento, especialmente por parte de Gianfranco, Junior y Ángel. Ofrece un ambiente acogedor, buena relación calidad-precio y es ideal para compartir con familia y amigos.",3,Grama Lounge,
True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,"['sushi', 'cócteles', 'fajitas', 'sangría', 'margaritas', 'hamburguesa de sushi', 'tortas de arroz (versión creativa de sushi)']","['Servicio muy amable y atento (Alejandro, Osiris, Emily, Jesús, bartender)', 'Comida deliciosa y de calidad (sushi, fajitas, cócteles, margaritas)', 'Opciones de sushi muy creativas y elaboradas (hamburguesa de sushi, tortas de arroz)', 'Personalización de platos para dietas (sushi vegetariano)', 'Ambiente agradable y hermoso']","['Tiempo de espera largo y servicio lento', 'Precio elevado', 'Falta de atención a detalles en algunos platos (salsa de soja, nachos sin gratinar, fajitas cocidas)']",euro euro euro,"El restaurante ofrece una versión muy creativa del sushi, incluyendo hamburguesas y tortas de arroz de sushi.","Sakale es un restaurante que destaca por su excelente servicio, con un personal muy amable y atento, y por su comida deliciosa y creativa, especialmente el sushi con opciones innovadoras como la hamburguesa de sushi. Ofrecen flexibilidad para dietas, como sushi vegetariano. Sin embargo, algunos clientes han experimentado esperas largas y lo consideran caro, mencionando también pequeños fallos en la preparación de ciertos platos.",4,Sakale,
True,True,True,True,True,False,False,False,True,True,False,False,False,True,False,"['brunch', 'pancakes']","['Servicio extremadamente amable y atento', 'Comida deliciosa, variada y bien presentada', 'Tiempos de espera cortos para mesa y comida', 'Platos abundantes y con ingredientes de calidad', 'Ambiente agradable y local impecable']",['Cobro del agua del grifo'],euro euro,"Es un sitio ideal para brunch, donde te atienden como reyes e incluso te cantan el feliz cumpleaños si es tu día.","Este restaurante es altamente recomendado por su comida deliciosa y variada, especialmente para brunch, con un servicio consistentemente excelente y atento. Los clientes destacan los tiempos de espera cortos y el ambiente agradable del local. Aunque hubo una queja sobre el cobro del agua del grifo, la mayoría considera que tiene precios justos y una muy buena relación calidad-precio.",5,Zenith Caffè - Valverde,
True,True,True,True,True,False,False,True,False,True,False,False,False,True,False,"['croquetas de boletus', 'lomo de ternera', 'paella de marisco', 'jamón ibérico', 'cheesecake']","['Servicio extremadamente amable y atento', 'Comida deliciosa y de buena calidad', 'Ambiente acogedor y agradable', 'Excelente relación calidad-precio', 'Servicio rápido']",['El mojito no estaba tan bueno'],euro euro,,"Este restaurante es muy recomendado por su excelente comida, destacando platos tradicionales españoles y una muy buena relación calidad-precio. El servicio es sumamente amable y rápido, y el ambiente es acogedor, ideal para parejas o una experiencia auténtica. Los clientes suelen repetir.",6,Tabernas El Sur,
True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,"['Paella de mariscos', 'Gambas al ajillo', 'Guiso cubano', 'Tarta de queso casera', 'Chipirones']","['Servicio muy amable y atento (destacando a Peter, Osman, Julián y Owen)', 'Comida excelente y deliciosa con platos elaborados', 'Buen ambiente y acogedor', 'Excelente relación calidad-precio', 'Recomendaciones personalizadas de platos por parte del personal']",['Tiempo de espera prolongado / colas debido a su popularidad'],euro euro,"Los clientes frecuentemente destacan el servicio excepcional y personalizado de camareros como Osman, Owen, Peter y Julián, quienes contribuyen a una experiencia memorable.","El restaurante es altamente recomendado por su excelente comida, destacando platos tradicionales como la paella y las gambas al ajillo, un servicio muy amable y atento, y un ambiente agradable. Los precios son razonables y la relación calidad-precio es muy buena. La principal advertencia es la posible necesidad de hacer cola debido a su gran popularidad.",7,Taberna El Sur De Huertas,
True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,"['sangría', 'tapas', 'ropa vieja', 'queso de cabra', 'paella', 'hamburguesa vegetariana', 'los choir ones']","['Comida casera, sabrosa y excelente', 'Servicio excepcionalmente amable y atento (menciones a Erik, Andrés, John)', 'Ambiente acogedor, cercano y agradable con buena música', 'Bebidas deliciosas y bien preparadas (sangría, cañas, otros tragos)', 'Local limpio y climatizado']",[],euro euro,"El personal es conocido por sus detalles especiales, como poner una vela en la tarta para celebrar un cumpleaños, y por su hospitalidad excepcional.","La Taberna Más al Sur es un acierto seguro para disfrutar de comida casera y deliciosa, un servicio excepcionalmente amable y un ambiente acogedor. Sus bebidas son destacadas y el local está bien cuidado, haciendo que la experiencia sea muy recomendable.",8,Taberna Más Al Sur,
True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,"['arroz señorito', 'zamburiñas', 'cócteles', 'bao de costilla', 'risotto de boletus', 'tarta de queso', 'sangrías', 'platos de fresas']","['Decoración y ambiente espectaculares', 'Comida de calidad y muy buena', 'Cócteles y bebidas excelentes y originales', 'Servicio atento, amable y personalizado', 'Ideal para cenas especiales o para sorprender']","['Precios sobrevalorados', 'Poca cantidad en platos y cócteles', 'Exceso de hielo en los cócteles']",euro euro euro,"La decoración es tan espectacular que se considera un motivo en sí mismo para visitar el local, creando una experiencia que 'hace honor al nombre'.","Este restaurante destaca por su decoración y ambiente espectaculares, su comida de calidad con platos modernos y cócteles excelentes. Ofrece un servicio muy atento y personalizado, siendo un lugar ideal para cenas especiales o en pareja. Sin embargo, algunos clientes consideran que los precios están sobrevalorados y que las porciones, especialmente las de los cócteles, son escasas.",9,Inclán Brutal Bar,
True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,"['hamburguesa la champion', 'lomo bajo']","['Ambiente agradable y moderno', 'Calidad de algunas hamburguesas muy destacada', 'Personal de sala amable y atento (generalmente)', 'Buena relación calidad-precio, pese a ser un poco caro']","['Uso de menú QR impopular y engorroso', 'Inconsistencias y fallos graves en el servicio (prisas, errores en la cuenta, trato de la encargada)', 'Calidad variable de los platos (algunas hamburguesas normales, lomo incomestible)', 'Descuentos no aplicados según lo anunciado']",euro euro euro,"El menú digital QR, que requiere conexión Wi-Fi y escanear el teléfono, es un punto recurrente de frustración para los clientes.","El restaurante ofrece un ambiente agradable y moderno, con un personal de sala generalmente amable y algunas hamburguesas muy elogiadas que justifican su precio. Sin embargo, la experiencia se ve empañada por un impopular sistema de menú QR, graves inconsistencias en el servicio (incluyendo prisas, errores en la cuenta y un trato desagradable de la encargada), y una calidad variable en otros platos.",10,SteakBurger Gran Vía 16,
True,True,True,True,True,False,False,True,False,True,False,False,False,True,False,"['canelón de ragú', 'pizza gallega', 'pasta a la carbonara', 'pasta negra con camarones', 'torre de tomate, berenjena y mozzarella gratinada', 'tiramisú', 'pizza de pulpo', 'pizza de huevo poche al tartufo', 'raviolis a la napolitana', 'mojitos']","['Excelente servicio y amabilidad del personal (especialmente Diana y Patricia)', 'Comida deliciosa y de alta calidad (pastas, pizzas y postres)', 'Ambiente agradable, tranquilo e íntimo', 'Buena relación calidad-precio y precios razonables', 'Variedad de opciones en el menú para todos los gustos']",['Ocasional lentitud para tomar la orden al principio'],euro euro,Su tiramisú es tan excepcional que un cliente lo describe como 'el mejor de su vida' y un postre memorable.,"Pastamore es un auténtico restaurante italiano en Madrid, muy elogiado por su deliciosa comida artesanal, especialmente sus pastas, pizzas y un tiramisú excepcional. El ambiente es agradable, tranquilo e íntimo, ideal para diversas ocasiones. Destaca por su excelente servicio, con personal amable y atento, y ofrece una buena relación calidad-precio. Aunque ocasionalmente puede haber una espera inicial para ser atendido, la experiencia general es muy positiva, haciendo de Pastamore una opción muy recomendable.",11,Pastamore Alcalá,
