web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,position,image,data14,data15,data16,data17,data18,image2,image3,image4,image5,image6,data19
1775742657-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Nunca defrauda.,Guillermo M,Nunca defrauda. Hemos vuelto y sigue al mismo nivel de siempre. Comida impecable y servicio perfecto. Es un restaurante para volver una y mil veces. Gracias por hacernos sentir como en casa.,25 contribuciones,25,Escrita el 13 de diciembre de 2020,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Una gratísima sorpresa,gloritis,"No conocía nada este restaurante y me ha sorprendido mucho, por lo confortable del lugar, por la atención experta y amable del personal y, sobre todo, por lo bien que hemos comido. Lástima no haber hecho alguna foto porque los salmonetes y la caballa lo merecían. Muy, muy recomendable.",50 contribuciones,50,Escrita el 25 de noviembre de 2020,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/96/avatar.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,"""Must"" de Madrid",Iván L,"El lugar perfecto para disfrutar auténticas delicias, producto de calidad premium tratado con mimo y una extensa carta de vinos, a cual mejor. El trato es exquisito y el lugar es encantador. Un auténtico ""must"" de Madrid. Enhorabuena por una combinación tan perfecta, repetiremos sin duda!",18 contribuciones,18,Escrita el 13 de septiembre de 2020,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Un (no tan) secreto escondido,Diego S,"Una vez pasado el maldito confinamiento y con los restaurantes en plena etapa de reaperturas nos decidimos a visitar la Vinoteca Moratín, este dato es curioso porque lo intentamos anteriormente en multiples ocasiones sin éxito, y es justo ahora con una reducción importante de espacio, mesas y comensales cuando logramos nuestro objetivo.

Espacios post-COVID amplios y con distancia entre mesas y un servicio extraordinario, en pocos sitios te podrás sentir más cómodo.

La comida fue una auténtica sorpresa, partiendo de una carta reducida (apuestas seguras mejor que abarcar demasiados campos) seguimos las indicaciones del metre y empezamos con puerros confitados (nunca pensé que pudieran estar así de deliciosos) y un salmón marinado que fue un espectáculo en boca.

Para los segundos mi pareja optó por un arroz negro muy rico y yo probé los canelones de ternera que son una auténtica perdición gastronómica.

La carta de vinos amplia, compensada y con personalidad. Seguimos las recomendaciones basadas en nuestros gustos y optamos por un El hombre bala (garnacha de Madrid, potente, intenso y un puntito canalla).

La espera, como se suele decir, mereció la pena.",613 contribuciones,613,Escrita el 11 de septiembre de 2020,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/c6/6e/37/diego-s.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Es bastante complicado encontrar,Enrique L,"Es bastante complicado encontrar en Madrid un lugar que aúne profesionalidad, buena cocina, excelente bodega y , además, una atención excelente. Pues bien, aquí lo tenéis....un 10 sin dudas. Probad sus recomendaciones. El menú es corto pero mejor hacer bien lo que sabes que diversificar. En serio , no os lo perdáis si tenéis la oportunidad!!! Gracias y saludos",58 contribuciones,58,Escrita el 30 de agosto de 2020,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/44/ca/52/enrique-l.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Un oasis en el tórrido verano madrileño.,Mario Q,Moratín siempre supera mis expectativas. Me encantó sobre todo la corvina! Gracias Marcos por tu amabilidad y buen hacer.,8 contribuciones,8,Escrita el 20 de agosto de 2020,8 contribuciones,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fe/fa/3c/mario-q.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,La clave del éxito,Pablo R,"La clave del éxito está en hacer de manera excepcional unas pocas cosas (y disfrutarlas) y no en abarcar demasiada mediocridad...
Enhorabuena a Marcos y su equipo y mil gracias por ser tan generosos conmigo cada vez que visito vuestra casa. Espero y deseo volver pronto por ahí y descubrir las nuevas propuestas después de este “arresto”.
Hasta aquí mis sugerencias: las alcachofas, los puerros, el bacalao... y sobre todo los CHICHARROS !!!!",4 contribuciones,4,Escrita el 18 de agosto de 2020,"Coslada, Madrid, Spain","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Maravilloso sitio. La comida,markirenton,"Maravilloso sitio. La comida buenisima (puerros, salmon, un arroz cn carpaccio d gamba exquisito!) y el trato amabilisimo. Nos ha encantado.",18 contribuciones,18,Escrita el 16 de agosto de 2020,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f7/7e/7b/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Y QUE MANERA DE VOLVER...,ranacuajo,"Ya se que no puedo ser imparcial con este restaurante. Son ya siete años visitándolo con asiduidad, pero el regreso ha sido genial. Fuera de carta una impresionante fideuá, un arroz con salmonetes de escándalo y un salmorejo fresco y suave...Vamos, que ya he reservado para la semana que viene...Encantado de volver.",38 contribuciones,38,Escrita el 21 de junio de 2020,"Madrid, España",,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/c7/ea/dc/ranacuajo.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Han vuelto,carmencortes58,"Somos clientes habituales.  Ayer fuimos en su primer día después del confinamiento. Con medidas higiénicas, separación, etc.
La cena fenomenal como siempre , una corvina excelente fue mi segundo plato y de primero mi-cuit de rape y postre coulant de chocolate.esta opinión es para darles ánimo y animad a la gente a acudir al restaurante.",288 contribuciones,288,Escrita el 10 de junio de 2020,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,,,,
